antibiotic	measurement_value	resistant_phenotype	evidence	genome_id	genome_name	laboratory_typing_method	taxon_id	measurement_sign	measurement_unit
ciprofloxacin		Resistant	Laboratory Method	470.16272	Acinetobacter baumannii BAL_372	Disk diffusion	470		
ampicillin		Resistant	Laboratory Method	470.24294	Acinetobacter baumannii MGL_Ab_3	Disk diffusion	470		
cefoxitin	64	Resistant	Laboratory Method	470.7887	Acinetobacter baumannii strain MRSN7503	Broth dilution	470	>=	mg/L
ampicillin/sulbactam	32	Resistant	Laboratory Method	470.2251	Acinetobacter baumannii strain CCF12		470	>=	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7762	Acinetobacter baumannii strain MRSN7330	Broth dilution	470	>=	mg/L
ampicillin		Resistant	Laboratory Method	470.24336	Acinetobacter baumannii MGL_77	Disk diffusion	470		
imipenem	64	Resistant	Laboratory Method	470.4786	Acinetobacter baumannii strain AR_0101	Broth dilution	470	>	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.7468	Acinetobacter baumannii strain MRSN11751	Broth dilution	470	>	mg/L
ceftazidime		Resistant	Laboratory Method	470.739	Acinetobacter baumannii ABUH28093		470		
ciprofloxacin	2	Resistant	Laboratory Method	470.7818	Acinetobacter baumannii strain MRSN7403	Broth dilution	470	>	mg/L
ceftazidime		Resistant	Laboratory Method	470.16270	Acinetobacter baumannii BAL_367	Disk diffusion	470		
aztreonam	16	Resistant	Laboratory Method	470.7479	Acinetobacter baumannii strain MRSN11766	Broth dilution	470	>	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7660	Acinetobacter baumannii strain MRSN7184	Broth dilution	470	>=	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7683	Acinetobacter baumannii strain MRSN7226	Broth dilution	470	>	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.7797	Acinetobacter baumannii strain MRSN7377	Broth dilution	470	>	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.7786	Acinetobacter baumannii strain MRSN7363	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.8107	Acinetobacter baumannii strain MRSN953	Broth dilution	470	>	mg/L
amikacin		Resistant	Laboratory Method	470.16349	Acinetobacter baumannii 344_an	Disk diffusion	470		
ceftazidime	16	Resistant	Laboratory Method	470.7925	Acinetobacter baumannii strain MRSN7567	Broth dilution	470	>	mg/L
levofloxacin	8	Resistant	Laboratory Method	470.2278	Acinetobacter baumannii strain CCF44		470	>=	mg/L
levofloxacin	4	Resistant	Laboratory Method	470.7890	Acinetobacter baumannii strain MRSN7506	Broth dilution	470	>	mg/L
cefepime		Resistant	Laboratory Method	470.768	Acinetobacter baumannii ABUH4556		470		
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7968	Acinetobacter baumannii strain MRSN7644	Broth dilution	470	>=	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7953	Acinetobacter baumannii strain MRSN7612	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.8075	Acinetobacter baumannii strain MRSN867	Broth dilution	470	>	mg/L
ceftazidime	256	Resistant	Laboratory Method	470.2159	Acinetobacter baumannii A091	Broth dilution	470		mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7423	Acinetobacter baumannii strain MRSN11674	Broth dilution	470	>	mg/L
carbenicillin		Resistant	Laboratory Method	470.22913	Acinetobacter baumannii 20200622_MGL_69	Disk diffusion	470		
gentamicin	16	Resistant	Laboratory Method	470.7861	Acinetobacter baumannii strain MRSN7468	Broth dilution	470	>=	mg/L
amikacin	32	Resistant	Laboratory Method	470.7991	Acinetobacter baumannii strain MRSN7677	Broth dilution	470	>	mg/L
ceftazidime	128	Resistant	Laboratory Method	470.7378	Acinetobacter baumannii strain FDA-CDC-AR_0278	Broth dilution	470	=	mg/L
meropenem		Resistant	Laboratory Method	470.5301	Acinetobacter baumannii strain Pesh-25		470		
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.7578	Acinetobacter baumannii strain MRSN2839	Broth dilution	470	>	mg/L
gentamicin	8	Resistant	Laboratory Method	470.8008	Acinetobacter baumannii strain MRSN7707	Broth dilution	470	>	mg/L
amikacin	32	Resistant	Laboratory Method	470.8035	Acinetobacter baumannii strain MRSN7759	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7807	Acinetobacter baumannii strain MRSN7388	Broth dilution	470	>=	mg/L
aztreonam	16	Resistant	Laboratory Method	470.8010	Acinetobacter baumannii strain MRSN7710	Broth dilution	470	>	mg/L
cefepime		Resistant	Laboratory Method	470.704	Acinetobacter baumannii ABUH71278		470		
imipenem	32	Resistant	Laboratory Method	470.2143	Acinetobacter baumannii A068	Broth dilution	470		mg/L
piperacillin/tazobactam		Resistant	Laboratory Method	470.16295	Acinetobacter baumannii 12_ax	Disk diffusion	470		
amikacin		Resistant	Laboratory Method	470.16343	Acinetobacter baumannii 300_n	Disk diffusion	470		
ceftazidime	16	Resistant	Laboratory Method	470.7940	Acinetobacter baumannii strain MRSN7590	Broth dilution	470	>	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.8055	Acinetobacter baumannii strain MRSN7806	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7445	Acinetobacter baumannii strain MRSN11716	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7596	Acinetobacter baumannii strain MRSN7087	Broth dilution	470	>=	mg/L
amikacin	32	Resistant	Laboratory Method	470.7753	Acinetobacter baumannii strain MRSN7318	Broth dilution	470	>	mg/L
imipenem	8	Resistant	Laboratory Method	470.2261	Acinetobacter baumannii strain CCF35		470	>=	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7572	Acinetobacter baumannii strain MRSN2021	Broth dilution	470	>=	mg/L
colistin	8	Resistant	Laboratory Method	470.7410	Acinetobacter baumannii strain FDA-CDC-AR_0310	Broth dilution	470	=	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7689	Acinetobacter baumannii strain MRSN7235	Broth dilution	470	>=	mg/L
levofloxacin	8	Resistant	Laboratory Method	470.7410	Acinetobacter baumannii strain FDA-CDC-AR_0310	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7579	Acinetobacter baumannii strain MRSN2840	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.8068	Acinetobacter baumannii strain MRSN7829	Broth dilution	470	>	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7902	Acinetobacter baumannii strain MRSN7524	Broth dilution	470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7919	Acinetobacter baumannii strain MRSN7558	Broth dilution	470	>	mg/L
levofloxacin	4	Resistant	Laboratory Method	470.7640	Acinetobacter baumannii strain MRSN7157	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7694	Acinetobacter baumannii strain MRSN7239	Broth dilution	470	>	mg/L
cefepime	64	Resistant	Laboratory Method	470.7365	Acinetobacter baumannii strain BL16	Broth dilution	470	>	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7433	Acinetobacter baumannii strain MRSN11698	Broth dilution	470	>=	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7846	Acinetobacter baumannii strain MRSN7446	Broth dilution	470	>=	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7643	Acinetobacter baumannii strain MRSN7160	Broth dilution	470	>	mg/L
tetracycline	8	Resistant	Laboratory Method	470.8002	Acinetobacter baumannii strain MRSN7697	Broth dilution	470	>	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7589	Acinetobacter baumannii strain MRSN7072	Broth dilution	470	>=	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16246	Acinetobacter baumannii BAL_291	Disk diffusion	470		
cefepime		Resistant	Laboratory Method	470.659	Acinetobacter baumannii ABUH106447		470		
aztreonam	16	Resistant	Laboratory Method	470.7652	Acinetobacter baumannii strain MRSN7169	Broth dilution	470	>	mg/L
meropenem	8	Resistant	Laboratory Method	470.7779	Acinetobacter baumannii strain MRSN7355	Broth dilution	470	>	mg/L
piperacillin/tazobactam		Resistant	Laboratory Method	470.16269	Acinetobacter baumannii BAL_361	Disk diffusion	470		
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.8070	Acinetobacter baumannii strain MRSN7832	Broth dilution	470	>=	mg/L
imipenem	16	Resistant	Laboratory Method	470.8104	Acinetobacter baumannii strain MRSN929	Broth dilution	470	>=	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7730	Acinetobacter baumannii strain MRSN7286	Broth dilution	470	>=	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7654	Acinetobacter baumannii strain MRSN7171	Broth dilution	470	>	mg/L
cefepime	32	Resistant	Laboratory Method	470.7408	Acinetobacter baumannii strain FDA-CDC-AR_0308	Broth dilution	470	=	mg/L
rifampin		Resistant	Laboratory Method	470.22944	Acinetobacter baumannii MGL_Ab_3	Disk diffusion	470		
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7835	Acinetobacter baumannii strain MRSN7420	Broth dilution	470	>=	mg/L
tigecycline	8	Resistant	Laboratory Method	470.7436	Acinetobacter baumannii strain MRSN11705	Broth dilution	470	>=	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.7435	Acinetobacter baumannii strain MRSN11701	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole		Resistant	Laboratory Method	470.650	Acinetobacter baumannii ABUH430478		470		
ceftazidime	16	Resistant	Laboratory Method	470.7752	Acinetobacter baumannii strain MRSN7316	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	8/152	Resistant	Laboratory Method	470.7954	Acinetobacter baumannii strain MRSN7617	Broth dilution	470	=	mg/L
trimethoprim/sulfamethoxazole		Resistant	Laboratory Method	470.24337	Acinetobacter baumannii MGL_Ab_12	Disk diffusion	470		
ceftazidime	32	Resistant	Laboratory Method	470.7965	Acinetobacter baumannii strain MRSN7640	Broth dilution	470	=	mg/L
ceftazidime		Resistant	Laboratory Method	470.765	Acinetobacter baumannii ABUH34825		470		
ampicillin	32	Resistant	Laboratory Method	470.7503	Acinetobacter baumannii strain MRSN11806	Broth dilution	470	>=	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.8068	Acinetobacter baumannii strain MRSN7829	Broth dilution	470	>	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7488	Acinetobacter baumannii strain MRSN11778	Broth dilution	470	>=	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.8061	Acinetobacter baumannii strain MRSN7817	Broth dilution	470	>	mg/L
cefotaxime		Resistant	Laboratory Method	470.655	Acinetobacter baumannii ABUH326461		470		
amikacin	32	Resistant	Laboratory Method	470.7506	Acinetobacter baumannii strain MRSN11812	Broth dilution	470	>	mg/L
amikacin		Resistant	Laboratory Method	470.16225	Acinetobacter baumannii BAL_215	Disk diffusion	470		
cefotaxime	32	Resistant	Laboratory Method	470.7903	Acinetobacter baumannii strain MRSN7525	Broth dilution	470	>	mg/L
tobramycin	8	Resistant	Laboratory Method	470.8013	Acinetobacter baumannii strain MRSN7713	Broth dilution	470	>	mg/L
aztreonam		Resistant	Laboratory Method	470.687	Acinetobacter baumannii ABUH81364		470		
amikacin	32	Resistant	Laboratory Method	470.7814	Acinetobacter baumannii strain MRSN7397	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7824	Acinetobacter baumannii strain MRSN7409	Broth dilution	470	>	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7975	Acinetobacter baumannii strain MRSN7655	Broth dilution	470	>=	mg/L
ampicillin/sulbactam		Resistant	Laboratory Method	470.686	Acinetobacter baumannii ABUH81366		470		
piperacillin/tazobactam	128	Resistant	Laboratory Method	470.2266	Acinetobacter baumannii strain CCF10		470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7484	Acinetobacter baumannii strain MRSN11772	Broth dilution	470	>	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7493	Acinetobacter baumannii strain MRSN11788	Broth dilution	470	>	mg/L
ceftazidime		Resistant	Laboratory Method	470.4826	Acinetobacter baumannii strain KCRI-423 strain RDK06_423	Disk diffusion	470		
nitrofurantoin	512	Resistant	Laboratory Method	470.7540	Acinetobacter baumannii strain MRSN15067	Broth dilution	470	>=	mg/L
streptomycin		Resistant	Laboratory Method	470.22943	Acinetobacter baumannii MGL_Ab_1	Disk diffusion	470		
meropenem		Resistant	Laboratory Method	470.696	Acinetobacter baumannii ABUH184309		470		
ciprofloxacin	4	Resistant	Laboratory Method	470.7816	Acinetobacter baumannii strain MRSN7401	Broth dilution	470	>=	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7825	Acinetobacter baumannii strain MRSN7410	Broth dilution	470	>=	mg/L
tobramycin	16	Resistant	Laboratory Method	470.2285	Acinetobacter baumannii strain CCF55		470	>=	mg/L
ampicillin/sulbactam		Resistant	Laboratory Method	470.8396	Acinetobacter baumannii strain Pesh-04		470		
ceftazidime	16	Resistant	Laboratory Method	470.8017	Acinetobacter baumannii strain MRSN7718	Broth dilution	470	>	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7666	Acinetobacter baumannii strain MRSN7204	Broth dilution	470	>	mg/L
ceftazidime	64	Resistant	Laboratory Method	470.8122	Acinetobacter baumannii strain not applicable	Broth dilution	470	>=	mg/L
gentamicin	16	Resistant	Laboratory Method	470.8102	Acinetobacter baumannii strain MRSN926	Broth dilution	470	>=	mg/L
tetracycline	8	Resistant	Laboratory Method	470.7877	Acinetobacter baumannii strain MRSN7487	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7693	Acinetobacter baumannii strain MRSN7238	Broth dilution	470	>	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7612	Acinetobacter baumannii strain MRSN7122	Broth dilution	470	>=	mg/L
imipenem	8	Resistant	Laboratory Method	470.7745	Acinetobacter baumannii strain MRSN7306	Broth dilution	470	>	mg/L
tetracycline		Resistant	Laboratory Method	470.641	Acinetobacter baumannii ABUH225493		470		
gentamicin		Resistant	Laboratory Method	470.720	Acinetobacter baumannii ABUH17182		470		
cefotaxime	256	Resistant	Laboratory Method	470.2143	Acinetobacter baumannii A068	Broth dilution	470	>	mg/L
ceftazidime		Resistant	Laboratory Method	470.16344	Acinetobacter baumannii 306_n	Disk diffusion	470		
trimethoprim/sulfamethoxazole		Resistant	Laboratory Method	470.6213	Acinetobacter baumannii strain AB_161	Disk diffusion	470		
doxycycline		Resistant	Laboratory Method	470.6197	Acinetobacter baumannii strain AB_US_10	Disk diffusion	470		
ceftazidime		Resistant	Laboratory Method	470.16243	Acinetobacter baumannii BAL_276	Disk diffusion	470		
ertapenem	8	Resistant	Laboratory Method	470.2243	Acinetobacter baumannii strain CCF4		470	>=	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7719	Acinetobacter baumannii strain MRSN7272	Broth dilution	470	>	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7723	Acinetobacter baumannii strain MRSN7278	Broth dilution	470	>=	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7521	Acinetobacter baumannii strain MRSN1420	Broth dilution	470	>=	mg/L
colistin	4	Resistant	Laboratory Method	470.7404	Acinetobacter baumannii strain FDA-CDC-AR_0304	Broth dilution	470	=	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7500	Acinetobacter baumannii strain MRSN11801	Broth dilution	470	>	mg/L
amikacin	32	Resistant	Laboratory Method	470.7626	Acinetobacter baumannii strain MRSN7139	Broth dilution	470	>	mg/L
cefotetan	64	Resistant	Laboratory Method	470.8086	Acinetobacter baumannii strain MRSN8902	Broth dilution	470	>=	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7686	Acinetobacter baumannii strain MRSN7229	Broth dilution	470	>=	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7742	Acinetobacter baumannii strain MRSN7303	Broth dilution	470	>	mg/L
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7866	Acinetobacter baumannii strain MRSN7474	Broth dilution	470	>=	mg/L
carbenicillin		Resistant	Laboratory Method	470.22941	Acinetobacter baumannii MGL_Ab_4	Disk diffusion	470		
trimethoprim/sulfamethoxazole	8/152	Resistant	Laboratory Method	470.7618	Acinetobacter baumannii strain MRSN7129	Broth dilution	470	=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7871	Acinetobacter baumannii strain MRSN7481	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole		Resistant	Laboratory Method	470.649	Acinetobacter baumannii ABUH381482		470		
ciprofloxacin		Resistant	Laboratory Method	470.16278	Acinetobacter baumannii NL_9	Disk diffusion	470		
ceftazidime	16	Resistant	Laboratory Method	470.7688	Acinetobacter baumannii strain MRSN7232	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7887	Acinetobacter baumannii strain MRSN7503	Broth dilution	470	>	mg/L
imipenem		Resistant	Laboratory Method	470.6188	Acinetobacter baumannii strain AB_390	Disk diffusion	470		
gentamicin		Resistant	Laboratory Method	470.706	Acinetobacter baumannii ABUH66276		470		
cefoxitin	64	Resistant	Laboratory Method	470.7878	Acinetobacter baumannii strain MRSN7488	Broth dilution	470	>=	mg/L
ciprofloxacin	4	Resistant	Laboratory Method	470.8100	Acinetobacter baumannii strain MRSN921	Broth dilution	470	>=	mg/L
trimethoprim/sulfamethoxazole		Resistant	Laboratory Method	470.24279	Acinetobacter baumannii MGL_165	Disk diffusion	470		
gentamicin	16	Resistant	Laboratory Method	470.2844	Acinetobacter baumannii strain AR_0037	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7697	Acinetobacter baumannii strain MRSN7243	Broth dilution	470	>	mg/L
imipenem		Resistant	Laboratory Method	470.6222	Acinetobacter baumannii strain AB_104	Disk diffusion	470		
gentamicin		Resistant	Laboratory Method	470.733	Acinetobacter baumannii ABUH126102		470		
doripenem	8	Resistant	Laboratory Method	470.5410	Acinetobacter baumannii strain AR_0070	Broth dilution	470	=	mg/L
aztreonam	64	Resistant	Laboratory Method	470.7507	Acinetobacter baumannii strain MRSN11813	Broth dilution	470	>=	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7816	Acinetobacter baumannii strain MRSN7401	Broth dilution	470	>=	mg/L
tetracycline	8	Resistant	Laboratory Method	470.7439	Acinetobacter baumannii strain MRSN11708	Broth dilution	470	>	mg/L
ertapenem	8	Resistant	Laboratory Method	470.2250	Acinetobacter baumannii strain CCF9		470	>=	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7940	Acinetobacter baumannii strain MRSN7590	Broth dilution	470	>=	mg/L
tetracycline		Resistant	Laboratory Method	470.24286	Acinetobacter baumannii MGL_Ab_13	Disk diffusion	470		
meropenem	16	Resistant	Laboratory Method	470.8072	Acinetobacter baumannii strain MRSN83	Broth dilution	470	>=	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7623	Acinetobacter baumannii strain MRSN7134	Broth dilution	470	>	mg/L
amikacin	32	Resistant	Laboratory Method	470.7851	Acinetobacter baumannii strain MRSN7456	Broth dilution	470	>	mg/L
doxycycline		Resistant	Laboratory Method	470.6184	Acinetobacter baumannii strain AB_186	Disk diffusion	470		
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7395	Acinetobacter baumannii strain FDA-CDC-AR_0295	Broth dilution	470	>	mg/L
levofloxacin		Resistant	Laboratory Method	470.672	Acinetobacter baumannii ABUH535423		470		
piperacillin/tazobactam		Resistant	Laboratory Method	470.6202	Acinetobacter baumannii strain AB_193	Disk diffusion	470		
nitrofurantoin	512	Resistant	Laboratory Method	470.7699	Acinetobacter baumannii strain MRSN7247	Broth dilution	470	>=	mg/L
ceftazidime		Resistant	Laboratory Method	470.613	Acinetobacter baumannii ABUH504238		470		
levofloxacin		Resistant	Laboratory Method	470.6171	Acinetobacter baumannii strain AB_US_1	Disk diffusion	470		
piperacillin	128	Resistant	Laboratory Method	470.2295	Acinetobacter baumannii strain CCF62		470	>=	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7777	Acinetobacter baumannii strain MRSN7353	Broth dilution	470	>=	mg/L
levofloxacin	8	Resistant	Laboratory Method	470.7521	Acinetobacter baumannii strain MRSN1420	Broth dilution	470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7538	Acinetobacter baumannii strain MRSN15065	Broth dilution	470	>	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7857	Acinetobacter baumannii strain MRSN7462	Broth dilution	470	>	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.718	Acinetobacter baumannii ABUH134192		470		
streptomycin		Resistant	Laboratory Method	470.1746	Acinetobacter baumannii strain D30	Disk diffusion	470		
tobramycin	8	Resistant	Laboratory Method	470.7935	Acinetobacter baumannii strain MRSN7580	Broth dilution	470	>	mg/L
carbenicillin		Resistant	Laboratory Method	470.24336	Acinetobacter baumannii MGL_77	Disk diffusion	470		
tetracycline	8	Resistant	Laboratory Method	470.7729	Acinetobacter baumannii strain MRSN7285	Broth dilution	470	>	mg/L
amikacin	32	Resistant	Laboratory Method	470.7462	Acinetobacter baumannii strain MRSN11745	Broth dilution	470	>	mg/L
tetracycline	8	Resistant	Laboratory Method	470.7709	Acinetobacter baumannii strain MRSN7257	Broth dilution	470	>	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7923	Acinetobacter baumannii strain MRSN7565	Broth dilution	470	>=	mg/L
imipenem		Resistant	Laboratory Method	470.16276	Acinetobacter baumannii NCSR_132	Disk diffusion	470		
meropenem		Resistant	Laboratory Method	470.701	Acinetobacter baumannii ABUH514288		470		
ampicillin	32	Resistant	Laboratory Method	470.7521	Acinetobacter baumannii strain MRSN1420	Broth dilution	470	>=	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7659	Acinetobacter baumannii strain MRSN7183	Broth dilution	470	>	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7970	Acinetobacter baumannii strain MRSN7647	Broth dilution	470	>	mg/L
ceftriaxone	64	Resistant	Laboratory Method	470.2271	Acinetobacter baumannii strain CCF24		470	>=	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.1757	Acinetobacter baumannii strain D13	Disk diffusion	470		
ciprofloxacin	4	Resistant	Laboratory Method	470.1561	Acinetobacter baumannii strain MRSN4119	Broth dilution	470	>=	mg/L
nalidixic acid		Resistant	Laboratory Method	470.24291	Acinetobacter baumannii MGL_Ab_8	Disk diffusion	470		
ceftriaxone	32	Resistant	Laboratory Method	470.7549	Acinetobacter baumannii strain MRSN15079	Broth dilution	470	>	mg/L
rifampin	13	Resistant	Laboratory Method	470.22937	Acinetobacter baumannii MGL_Ab_6	Disk diffusion	470		mm
ceftriaxone	32	Resistant	Laboratory Method	470.7491	Acinetobacter baumannii strain MRSN11783	Broth dilution	470	>	mg/L
levofloxacin	4	Resistant	Laboratory Method	470.7816	Acinetobacter baumannii strain MRSN7401	Broth dilution	470	>	mg/L
ceftazidime		Resistant	Laboratory Method	470.677	Acinetobacter baumannii ABUH129409		470		
cefotaxime	32	Resistant	Laboratory Method	470.7965	Acinetobacter baumannii strain MRSN7640	Broth dilution	470	>	mg/L
gentamicin	16	Resistant	Laboratory Method	470.4748	Acinetobacter baumannii strain AR_0088	Broth dilution	470	>	mg/L
nalidixic acid		Resistant	Laboratory Method	470.24286	Acinetobacter baumannii MGL_Ab_13	Disk diffusion	470		
trimethoprim/sulfamethoxazole		Resistant	Laboratory Method	470.6229	Acinetobacter baumannii strain AB_056	Disk diffusion	470		
cefazolin	64	Resistant	Laboratory Method	470.8088	Acinetobacter baumannii strain MRSN891	Broth dilution	470	>=	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7704	Acinetobacter baumannii strain MRSN7252	Broth dilution	470	>	mg/L
trimethoprim		Resistant	Laboratory Method	470.1760	Acinetobacter baumannii strain A297	Disk diffusion	470		
gentamicin	16	Resistant	Laboratory Method	470.4901	Acinetobacter baumannii strain AR_0083	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7415	Acinetobacter baumannii strain MRSN10371	Broth dilution	470	>	mg/L
amikacin	32	Resistant	Laboratory Method	470.7506	Acinetobacter baumannii strain MRSN11812	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.7854	Acinetobacter baumannii strain MRSN7460	Broth dilution	470	>	mg/L
ertapenem	8	Resistant	Laboratory Method	470.2249	Acinetobacter baumannii strain CCF8		470	>=	mg/L
doxycycline		Resistant	Laboratory Method	470.22928	Acinetobacter baumannii 20200317_MGL_38	Disk diffusion	470		
amikacin	32	Resistant	Laboratory Method	470.7803	Acinetobacter baumannii strain MRSN7383	Broth dilution	470	>	mg/L
ticarcillin	128	Resistant	Laboratory Method	470.2259	Acinetobacter baumannii strain CCF23		470	>=	mg/L
amikacin	32	Resistant	Laboratory Method	470.7785	Acinetobacter baumannii strain MRSN7362	Broth dilution	470	>	mg/L
gentamicin		Resistant	Laboratory Method	470.8400	Acinetobacter baumannii strain Pesh-01		470		
ceftazidime	16	Resistant	Laboratory Method	470.8099	Acinetobacter baumannii strain MRSN920	Broth dilution	470	>	mg/L
moxifloxacin	8	Resistant	Laboratory Method	470.7541	Acinetobacter baumannii strain MRSN15068	Broth dilution	470	>=	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7986	Acinetobacter baumannii strain MRSN7672	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7997	Acinetobacter baumannii strain MRSN7689	Broth dilution	470	>	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.8075	Acinetobacter baumannii strain MRSN867	Broth dilution	470	>	mg/L
streptomycin		Resistant	Laboratory Method	470.1761	Acinetobacter baumannii strain A83	Disk diffusion	470		
imipenem		Resistant	Laboratory Method	470.740	Acinetobacter baumannii ABUH28092		470		
meropenem	16	Resistant	Laboratory Method	470.8089	Acinetobacter baumannii strain MRSN896	Broth dilution	470	>=	mg/L
doripenem	8	Resistant	Laboratory Method	470.7409	Acinetobacter baumannii strain FDA-CDC-AR_0309	Broth dilution	470	>	mg/L
ceftazidime		Resistant	Laboratory Method	470.5301	Acinetobacter baumannii strain Pesh-25		470		
imipenem		Resistant	Laboratory Method	470.24278	Acinetobacter baumannii MGL_168	Disk diffusion	470		
imipenem	16	Resistant	Laboratory Method	470.7580	Acinetobacter baumannii strain MRSN3360	Broth dilution	470	>=	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7726	Acinetobacter baumannii strain MRSN7281	Broth dilution	470	>	mg/L
amikacin		Resistant	Laboratory Method	470.6209	Acinetobacter baumannii strain AB_203	Disk diffusion	470		
moxifloxacin	8	Resistant	Laboratory Method	470.1548	Acinetobacter baumannii strain MRSN17592	Broth dilution	470	>=	mg/L
imipenem	8	Resistant	Laboratory Method	470.2304	Acinetobacter baumannii strain CCF72		470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.8092	Acinetobacter baumannii strain MRSN908	Broth dilution	470	>	mg/L
gentamicin	16	Resistant	Laboratory Method	470.7420	Acinetobacter baumannii strain MRSN11660	Broth dilution	470	>=	mg/L
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7679	Acinetobacter baumannii strain MRSN7221	Broth dilution	470	>=	mg/L
ceftriaxone		Resistant	Laboratory Method	470.8392	Acinetobacter baumannii strain Pesh-27		470		
meropenem		Resistant	Laboratory Method	470.6212	Acinetobacter baumannii strain AB_152	Disk diffusion	470		
